Configuration,Term,J,Level (eV),Uncertainty (eV),Reference
2p6,1S,0,0.000000,,NIST_ASD
2p5 3s,3P*,2,16.619,,NIST_ASD
2p5 3s,1P*,1,16.848,,NIST_ASD
Limit,Limit,---,21.56454,,NIST_ASD
