Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""5d4.(1I).6s""","=""2I""","=""11/2""","=""""","=""3.33877147""","=""""","=""0.00000025""","=""0.0498786""","=""""","=""  50                                 :    21  5d5                  2I   ""","=""L12177"""
"=""5d4.(1I).6s""","=""2I""","=""13/2""","=""""","=""3.49481426""","=""""","=""0.00000025""","=""0.1560428""","=""""","=""  75                                 :    16  5d5                  2I   ""","=""L12177"""
"=""""","=""""","=""7/2""","=""""","=""3.38151440""","=""""","=""0.00000025""","=""-0.1132999""","=""""","=""  31  5d5 4G                         :    23  5d4.(3G).6s          4G   ""","=""L12177"""
"=""5d4.(3P1).6s""","=""4P""","=""5/2""","=""""","=""3.4862913""","=""""","=""0.0000005""","=""0.1047769""","=""""","=""  40                                 :    10  5d3.6s2              4P   ""","=""L12177"""
"=""""","=""""","=""11/2""","=""""","=""3.51837213""","=""""","=""0.00000025""","=""0.0320808""","=""""","=""  37  5d5 4G                         :    31  5d4.(3G).6s          4G   ""","=""L12177"""
"=""""","=""""","=""3/2""","=""""","=""3.5324239""","=""""","=""0.0000005""","=""0.0140518""","=""""","=""  19  5d4.(1D2).6s 2D                :    19  5d3.6s2              2P   ""","=""L12177"""
"=""""","=""""","=""7/2""","=""""","=""3.54987689""","=""""","=""0.00000025""","=""0.0174530""","=""""","=""  15  5d5 4D                         :    14  5d4.(3F2).6s         2F   ""","=""L12177"""
"=""""","=""""","=""9/2""","=""""","=""3.6378732""","=""""","=""0.0000004""","=""0.0879963""","=""""","=""  22  5d4.(3F2).6s 4F                :    21  5d5                  2G2  ""","=""L12177"""
"=""""","=""""","=""3/2""","=""""","=""3.7472667""","=""""","=""0.0000006""","=""0.1093935""","=""""","=""  20  5d3.6s2 4P                     :    16  5d5                  4P   ""","=""L12177"""
"=""""","=""""","=""5/2""","=""""","=""3.7961538""","=""""","=""0.0000005""","=""0.0488871""","=""""","=""  20  5d4.(1F).6s 2F                 :    18  5d4.(3F2).6s         2F   ""","=""L12177"""
"=""""","=""""","=""9/2""","=""""","=""3.79799890""","=""""","=""0.00000025""","=""0.0018451""","=""""","=""  27  5d4.(3H).6s 2H                 :    17  5d3.6s2              2H   ""","=""L12177"""
