Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""5f8""","=""7F""","=""6""","=""""","=""0.0000""","=""""","=""0""","=""""","=""L8672"""
"=""Cf VI (5f7 8S*<7/2>)""","=""Limit""","=""---""","=""(""","=""51.9""","="")""","=""1.9""","=""""","=""L8672c99"""
