Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""1s.5p""","=""1P*""","=""1""","=""[""","=""73.4753""","=""]""","=""0.0003""","=""0.0120""","=""L6124c204"""
"=""1s.6s""","=""3S""","=""1""","=""[""","=""74.033578""","=""]""","=""0.000012""","=""0.5583""","=""L3501c202"""
"=""1s.6s""","=""1S""","=""0""","=""[""","=""74.090435""","=""]""","=""0.000019""","=""0.05686""","=""L3501c202"""
"=""1s.6p""","=""3P*""","=""0""","=""[""","=""74.100580""","=""]""","=""0.000012""","=""0.01014""","=""L3501c202"""
"=""1s.6p""","=""3P*""","=""1""","=""[""","=""74.100627""","=""]""","=""0.000012""","=""0.00005""","=""L3501c202"""
"=""1s.6p""","=""3P*""","=""2""","=""[""","=""74.100710""","=""]""","=""0.000012""","=""0.00008""","=""L3501c202"""
"=""1s.6d""","=""3D""","=""1""","=""[""","=""74.127013""","=""]""","=""0.000025""","=""0.02630""","=""L3501c202"""
"=""1s.6d""","=""3D""","=""2""","=""[""","=""74.127061""","=""]""","=""0.000012""","=""0.00005""","=""L3501c202"""
"=""1s.6d""","=""3D""","=""3""","=""[""","=""74.127143""","=""]""","=""0.000012""","=""0.00008""","=""L3501c202"""
"=""1s.6d""","=""1D""","=""2""","=""[""","=""74.127877""","=""]""","=""0.000019""","=""0.00073""","=""L3501c202"""
"=""1s.6f""","=""3F*""","=""2""","=""[""","=""74.128238""","=""]""","=""0.000012""","=""0.00036""","=""L3501c202"""
"=""1s.6f""","=""3F*""","=""3""","=""[""","=""74.128238""","=""]""","=""0.000012""","=""0.00000""","=""L3501c202"""
"=""1s.6f""","=""3F*""","=""4""","=""[""","=""74.128238""","=""]""","=""0.000012""","=""0.00000""","=""L3501c202"""
"=""1s.6f""","=""1F*""","=""3""","=""[""","=""74.128368""","=""]""","=""0.000012""","=""0.00013""","=""L3501c202"""
"=""1s.6g""","=""1G""","=""4""","=""[""","=""74.128445""","=""]""","=""0.000025""","=""0.00008""","=""u46"""
"=""1s.6g""","=""3G""","=""3""","=""[""","=""74.128445""","=""]""","=""0.000025""","=""0.00000""","=""u46"""
"=""1s.6g""","=""3G""","=""4""","=""[""","=""74.128445""","=""]""","=""0.000025""","=""0.00000""","=""u46"""
"=""1s.6g""","=""3G""","=""5""","=""[""","=""74.128445""","=""]""","=""0.000025""","=""0.00000""","=""u46"""
"=""1s.6h""","=""1H*""","=""5""","=""[""","=""74.128465""","=""]""","=""0.000025""","=""0.00002""","=""u46"""
"=""1s.6h""","=""3H*""","=""4""","=""[""","=""74.128465""","=""]""","=""0.000025""","=""0.00000""","=""u46"""
"=""1s.6h""","=""3H*""","=""5""","=""[""","=""74.128465""","=""]""","=""0.000025""","=""0.00000""","=""u46"""
"=""1s.6h""","=""3H*""","=""6""","=""[""","=""74.128465""","=""]""","=""0.000025""","=""0.00000""","=""u46"""
"=""1s.6p""","=""1P*""","=""1""","=""[""","=""74.1347""","=""]""","=""0.0006""","=""0.0062""","=""L6124c204"""
"=""1s.7s""","=""3S""","=""1""","=""[""","=""74.470245""","=""]""","=""0.000012""","=""0.3355""","=""L3501c202"""
"=""1s.7s""","=""1S""","=""0""","=""[""","=""74.50579""","=""]""","=""0.00025""","=""0.0355""","=""L3501c202"""
"=""1s.7p""","=""3P*""","=""0""","=""[""","=""74.511979""","=""]""","=""0.000012""","=""0.0062""","=""u45"""
"=""1s.7p""","=""3P*""","=""1""","=""[""","=""74.512007""","=""]""","=""0.000012""","=""0.00003""","=""u45"""
"=""1s.7p""","=""3P*""","=""2""","=""[""","=""74.512060""","=""]""","=""0.000012""","=""0.00005""","=""u45"""
"=""1s.7d""","=""3D""","=""1""","=""[""","=""74.528537""","=""]""","=""0.000025""","=""0.01648""","=""L3501c202"""
"=""1s.7d""","=""3D""","=""2""","=""[""","=""74.528585""","=""]""","=""0.000012""","=""0.00005""","=""L3501c202"""
"=""1s.7d""","=""3D""","=""3""","=""[""","=""74.528667""","=""]""","=""0.000012""","=""0.00008""","=""L3501c202"""
"=""1s.7d""","=""1D""","=""2""","=""[""","=""74.529152""","=""]""","=""0.000019""","=""0.00048""","=""L3501c202"""
"=""1s.7f""","=""3F*""","=""2""","=""[""","=""74.529324""","=""]""","=""0.000025""","=""0.00017""","=""L3501c202"""
