Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""6p6""","=""1S""","=""0""","=""""","=""0.0000""","=""""","=""0""","=""""","=""L8672"""
"=""Ra IV (6p5 2P*<3/2>)""","=""Limit""","=""---""","=""(""","=""31.0""","="")""","=""1.6""","=""""","=""L8672c99"""
