Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Reference
"=""5s2.5p4.(1D<2>).5d""","=""2[2]""","=""5/2""","=""""","=""15.411479""","=""""","=""""","=""-0.03337""","=""""","=""L6925"""
"=""5s2.5p4.(1D<2>).5d""","=""2[2]""","=""3/2""","=""""","=""15.811370""","=""""","=""""","=""0.39989""","=""""","=""L6925"""
"=""5s2.5p4.(1D<2>).6p""","=""2[3]*""","=""5/2""","=""""","=""15.977496""","=""""","=""""","=""0.16613""","=""0.92""","=""L6925"""
"=""5s2.5p4.(1D<2>).6p""","=""2[3]*""","=""7/2""","=""""","=""16.125876""","=""""","=""""","=""0.14838""","=""1.15""","=""L6925"""
"=""5s2.5p4.(1S<0>).6s""","=""2[0]""","=""1/2""","=""""","=""16.024758""","=""""","=""""","=""-0.10112""","=""""","=""L6925"""
"=""5s2.5p4.(1D<2>).6p""","=""2[1]*""","=""3/2""","=""""","=""16.076702""","=""""","=""""","=""0.05194""","=""1.40""","=""L6925"""
"=""5s2.5p4.(1D<2>).6p""","=""2[1]*""","=""1/2""","=""""","=""16.457805""","=""""","=""""","=""0.38110""","=""0.71""","=""L6925"""
"=""5s2.5p4.(1D<2>).6p""","=""2[2]*""","=""3/2""","=""""","=""16.356465""","=""""","=""""","=""-0.10134""","=""0.90""","=""L6925"""
"=""5s2.5p4.(1D<2>).6p""","=""2[2]*""","=""5/2""","=""""","=""16.391673""","=""""","=""""","=""0.03521""","=""1.20""","=""L6925"""
"=""5s2.5p4.(3P<2>).7s""","=""2[2]""","=""5/2""","=""""","=""16.430240""","=""""","=""""","=""0.03857""","=""1.53""","=""L6925"""
"=""5s2.5p4.(3P<2>).7s""","=""2[2]""","=""3/2""","=""""","=""16.513383""","=""""","=""""","=""0.08314""","=""1.40""","=""L6925"""
"=""5s2.5p4.(1D<2>).5d""","=""2[0]""","=""1/2""","=""""","=""16.745426""","=""""","=""""","=""0.23204""","=""2.03""","=""L6925"""
"=""5s2.5p4.(3P<2>).6d""","=""2[3]""","=""7/2""","=""""","=""16.800766""","=""""","=""""","=""0.05534""","=""1.39""","=""L6925"""
"=""5s2.5p4.(3P<2>).6d""","=""2[3]""","=""5/2""","=""""","=""17.245493""","=""""","=""""","=""0.44473""","=""1.14""","=""L6925"""
"=""5s2.5p4.(3P<2>).6d""","=""2[2]""","=""5/2""","=""""","=""16.805702""","=""""","=""""","=""-0.43979""","=""1.33""","=""L6925"""
"=""5s2.5p4.(3P<2>).6d""","=""2[2]""","=""3/2""","=""""","=""16.825687""","=""""","=""""","=""0.01998""","=""1.33""","=""L6925"""
"=""5s2.5p4.(3P<2>).6d""","=""2[4]""","=""9/2""","=""""","=""16.875446""","=""""","=""""","=""0.04976""","=""1.28""","=""L6925"""
"=""5s2.5p4.(3P<2>).6d""","=""2[4]""","=""7/2""","=""""","=""16.935970""","=""""","=""""","=""0.06052""","=""1.14""","=""L6925"""
"=""5s2.5p4.(3P<2>).6d""","=""2[1]""","=""1/2""","=""""","=""16.930552""","=""""","=""""","=""-0.00542""","=""0.94""","=""L6925"""
"=""5s2.5p4.(3P<2>).6d""","=""2[1]""","=""3/2""","=""""","=""17.313207""","=""""","=""""","=""0.38265""","=""1.14""","=""L6925"""
"=""5s2.5p4.(1S<0>).5d""","=""2[2]""","=""5/2""","=""""","=""16.932476""","=""""","=""""","=""-0.38073""","=""""","=""L6925"""
"=""5s2.5p4.(1S<0>).5d""","=""2[2]""","=""3/2""","=""""","=""17.117580""","=""""","=""""","=""0.18510""","=""1.00""","=""L6925"""
"=""5s2.5p4.(3P<2>).6d""","=""2[0]""","=""1/2""","=""""","=""17.199905""","=""""","=""""","=""0.08233""","=""1.86""","=""L6925"""
"=""5s2.5p4.(3P<2>).4f""","=""2[4]*""","=""9/2""","=""""","=""17.229820""","=""""","=""""","=""0.02991""","=""""","=""L6925"""
"=""5s2.5p4.(3P<2>).4f""","=""2[4]*""","=""7/2""","=""""","=""17.361506""","=""""","=""""","=""0.13169""","=""1.09""","=""L6925"""
"=""5s2.5p4.(3P<2>).4f""","=""2[3]*""","=""7/2""","=""""","=""17.234457""","=""""","=""""","=""-0.12705""","=""""","=""L6925"""
"=""5s2.5p4.(3P<2>).4f""","=""2[3]*""","=""5/2""","=""""","=""17.256441""","=""""","=""""","=""0.02198""","=""""","=""L6925"""
"=""5s2.5p4.(3P<2>).7p""","=""2[2]*""","=""5/2""","=""""","=""17.249770""","=""""","=""""","=""-0.00667""","=""""","=""L6925"""
"=""5s2.5p4.(3P<2>).7p""","=""2[2]*""","=""3/2""","=""""","=""17.480147""","=""""","=""""","=""0.23038""","=""""","=""L6925"""
"=""5s2.5p4.(3P<2>).7p""","=""2[1]*""","=""3/2""","=""""","=""17.257832""","=""""","=""""","=""-0.22231""","=""""","=""L6925"""
"=""5s2.5p4.(3P<2>).7p""","=""2[1]*""","=""1/2""","=""""","=""17.359224""","=""""","=""""","=""0.10139""","=""""","=""L6925"""
"=""5s2.5p4.(3P<2>).4f""","=""2[2]*""","=""3/2""","=""""","=""17.295605""","=""""","=""""","=""-0.06362""","=""""","=""L6925"""
"=""5s2.5p4.(3P<2>).4f""","=""2[2]*""","=""5/2""","=""""","=""17.383823""","=""""","=""""","=""0.08822""","=""""","=""L6925"""
"=""5s2.5p4.(3P<2>).7p""","=""2[3]*""","=""5/2""","=""""","=""17.313895""","=""""","=""""","=""-0.06993""","=""""","=""L6925"""
"=""5s2.5p4.(3P<2>).7p""","=""2[3]*""","=""7/2""","=""""","=""17.324794""","=""""","=""""","=""0.01090""","=""""","=""L6925"""
