Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""6d2.7s""","=""""","=""3/2""","=""""","=""0.0000""","=""""","=""0""","=""""","=""L8672"""
"=""Db IV (6d2 <2>)""","=""Limit""","=""---""","=""(""","=""23.1""","="")""","=""1.6""","=""""","=""L8672c99"""
