Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""5d7""","=""4F""","=""9/2""","=""""","=""0.0000""","=""""","=""0""","=""""","=""L8672"""
"=""Au VI (5d6 5D<4>)""","=""Limit""","=""---""","=""(""","=""60.0""","="")""","=""1.9""","=""""","=""L8672c99"""
