Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""5f.6p6""","=""2F*""","=""5/2""","=""""","=""0.0000""","=""""","=""0""","=""""","=""L14620,L10110"""
"=""Th V (6p6 1S<0>)""","=""Limit""","=""---""","=""""","=""28.648""","=""""","=""0.025""","=""""","=""L14620,L10110"""
