Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""4d8""","=""3F""","=""4""","=""""","=""0.0000""","=""""","=""0""","=""""","=""L8672"""
"=""Cd VI (4d7 4F<9/2>)""","=""Limit""","=""---""","=""(""","=""67.9""","="")""","=""1.9""","=""""","=""L8672c99"""
