Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""5f14.6d""","=""2D""","=""3/2""","=""""","=""0.0000""","=""""","=""0""","=""""","=""L8672"""
"=""Db VI (5f14 1S<0>)""","=""Limit""","=""---""","=""(""","=""43.0""","="")""","=""1.9""","=""""","=""L8672c99"""
