Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Reference
"=""5s2.5p3.(4S*).7g""","=""30*""","=""4""","=""""","=""18.013065""","=""""","=""""","=""-0.00091""","=""""","="""""
"=""5s2.5p3.(4S*).7g""","=""30*""","=""5""","=""""","=""18.013792""","=""""","=""""","=""0.00073""","=""""","="""""
"=""5s2.5p3.(4S*).7g""","=""3G*""","=""3""","=""""","=""18.014122""","=""""","=""""","=""0.00033""","=""""","="""""
"=""5s2.5p3.((2P*).6d+(2D*).7d)""","=""20*""","=""1,2""","=""""","=""18.081575""","=""""","=""""","=""0.06745""","=""""","="""""
"=""5s2.5p3.((2P*).6d+(2D*).7d)""","=""21*""","=""1""","=""""","=""18.137891""","=""""","=""""","=""0.05632""","=""""","="""""
"=""""","=""1""","=""2,3""","=""""","=""18.158780""","=""""","=""""","=""0.02089""","=""""","="""""
"=""5s2.5p3.((2P*).6d+(2D*).7d)""","=""24*""","=""1,2""","=""""","=""18.161343""","=""""","=""""","=""0.00256""","=""""","="""""
"=""5s2.5p3.(4S*).11s""","=""5S*""","=""2""","=""""","=""18.173289""","=""""","=""""","=""0.01195""","=""""","="""""
"=""5s2.5p3.(4S*).11s""","=""3S*""","=""1""","=""""","=""18.174759""","=""""","=""""","=""0.00147""","=""""","="""""
"=""5s2.5p3.((2P*).6d+(2D*).7d)""","=""25*""","=""1,2""","=""""","=""18.199013""","=""""","=""""","=""0.02425""","=""""","="""""
"=""5s2.5p3.((2P*).6d+(2D*).7d)""","=""26*""","=""3""","=""""","=""18.207101""","=""""","=""""","=""0.00809""","=""""","="""""
"=""5s2.5p3.(4S*).8f""","=""5F""","=""5""","=""""","=""18.216016""","=""""","=""""","=""0.00891""","=""""","="""""
"=""5s2.5p3.(4S*).8f""","=""5F""","=""3""","=""""","=""18.217552""","=""""","=""""","=""0.00154""","=""""","="""""
"=""5s2.5p3.(4S*).8f""","=""5F""","=""4""","=""""","=""18.217999""","=""""","=""""","=""0.00045""","=""""","="""""
"=""5s2.5p3.(4S*).8f""","=""5F""","=""2""","=""""","=""18.219474""","=""""","=""""","=""0.00148""","=""""","="""""
"=""""","=""2""","=""2,3""","=""""","=""18.222330""","=""""","=""""","=""0.00286""","=""""","="""""
"=""5s2.5p3.((2P*).6d+(2D*).7d)""","=""29*""","=""1""","=""""","=""18.228206""","=""""","=""""","=""0.00588""","=""""","="""""
"=""5s2.5p3.(4S*).8f""","=""3F""","=""3""","=""""","=""18.232406""","=""""","=""""","=""0.00420""","=""""","="""""
"=""5s2.5p3.(4S*).8f""","=""3F""","=""4""","=""""","=""18.243915""","=""""","=""""","=""0.01151""","=""""","="""""
"=""5s2.5p3.(4S*).10d""","=""3D*?""","=""2""","=""""","=""18.243273""","=""""","=""""","=""-0.00064""","=""""","="""""
