Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""6p2""","=""3P""","=""0""","=""""","=""0.0000""","=""""","=""0""","=""""","=""L16139"""
"=""Po IV (6p 2P*<1/2>)""","=""Limit""","=""---""","=""[""","=""27.3""","=""]""","=""0.7""","=""""","=""L16139"""
