Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""4f10.5p6""","=""5I""","=""8""","=""""","=""0.0000""","=""""","=""0""","=""""","=""L11605"""
"=""Dy IV (4f9.5p6 6H*<15/2>)""","=""Limit""","=""---""","=""[""","=""22.89""","=""]""","=""0.03""","=""""","=""L19883c180"""
