Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""1s.8i""","=""3I""","=""6""","=""[""","=""151.98302""","=""]""","=""0.00012""","=""0.0000""","=""u47"""
"=""1s.8i""","=""3I""","=""7""","=""[""","=""151.98302""","=""]""","=""0.00012""","=""0.0000""","=""u47"""
"=""1s.8p""","=""1P*""","=""1""","=""[""","=""151.9884""","=""]""","=""0.0006""","=""0.0054""","=""u45"""
"=""1s.9s""","=""3S""","=""1""","=""[""","=""152.34045""","=""]""","=""0.00006""","=""0.3520""","=""u45"""
"=""1s.9s""","=""1S""","=""0""","=""[""","=""152.36728""","=""]""","=""0.00012""","=""0.0268""","=""u45"""
"=""1s.9p""","=""3P*""","=""2""","=""[""","=""152.37005""","=""]""","=""0.00012""","=""0.0028""","=""u45"""
"=""1s.9p""","=""3P*""","=""0""","=""[""","=""152.37006""","=""]""","=""0.00012""","=""0.0000""","=""u45"""
"=""1s.9p""","=""3P*""","=""1""","=""[""","=""152.37006""","=""]""","=""0.00012""","=""0.0000""","=""u45"""
"=""1s.9d""","=""3D""","=""1""","=""[""","=""152.38372""","=""]""","=""0.00012""","=""0.0137""","=""u45"""
"=""1s.9d""","=""3D""","=""2""","=""[""","=""152.38372""","=""]""","=""0.00012""","=""0.0000""","=""u45"""
"=""1s.9d""","=""3D""","=""3""","=""[""","=""152.38372""","=""]""","=""0.00012""","=""0.0000""","=""u45"""
"=""1s.9d""","=""1D""","=""2""","=""[""","=""152.38430""","=""]""","=""0.00012""","=""0.0006""","=""u45"""
"=""1s.9f""","=""1F*""","=""3""","=""[""","=""152.38448""","=""]""","=""0.00012""","=""0.0002""","=""u47"""
"=""1s.9f""","=""3F*""","=""2""","=""[""","=""152.38448""","=""]""","=""0.00012""","=""0.0000""","=""u47"""
"=""1s.9f""","=""3F*""","=""3""","=""[""","=""152.38448""","=""]""","=""0.00012""","=""0.0000""","=""u47"""
"=""1s.9f""","=""3F*""","=""4""","=""[""","=""152.38448""","=""]""","=""0.00012""","=""0.0000""","=""u47"""
"=""1s.9g""","=""1G""","=""4""","=""[""","=""152.3845""","=""]""","=""0.0005""","=""0.0000""","=""L11891c206"""
"=""1s.9g""","=""3G""","=""3""","=""[""","=""152.3845""","=""]""","=""0.0005""","=""0.0000""","=""L11891c206"""
"=""1s.9g""","=""3G""","=""4""","=""[""","=""152.3845""","=""]""","=""0.0005""","=""0.0000""","=""L11891c206"""
"=""1s.9g""","=""3G""","=""5""","=""[""","=""152.3845""","=""]""","=""0.0005""","=""0.0000""","=""L11891c206"""
"=""1s.9h""","=""3H*""","=""4""","=""[""","=""152.38454""","=""]""","=""0.00012""","=""0.0000""","=""u47"""
"=""1s.9h""","=""3H*""","=""5""","=""[""","=""152.38454""","=""]""","=""0.00012""","=""0.0000""","=""u47"""
"=""1s.9h""","=""3H*""","=""6""","=""[""","=""152.38454""","=""]""","=""0.00012""","=""0.0000""","=""u47"""
"=""1s.9h""","=""1H*""","=""5""","=""[""","=""152.38454""","=""]""","=""0.00012""","=""0.0000""","=""u47"""
"=""1s.9p""","=""1P*""","=""1""","=""[""","=""152.3883""","=""]""","=""0.0006""","=""0.0038""","=""u45"""
"=""1s.10s""","=""3S""","=""1""","=""[""","=""152.63970""","=""]""","=""0.00006""","=""0.2514""","=""u45"""
"=""1s.10s""","=""1S""","=""0""","=""[""","=""152.65918""","=""]""","=""0.00012""","=""0.0195""","=""u45"""
"=""1s.10p""","=""3P*""","=""2""","=""[""","=""152.66120""","=""]""","=""0.00012""","=""0.0020""","=""u45"""
"=""1s.10p""","=""3P*""","=""0""","=""[""","=""152.66121""","=""]""","=""0.00012""","=""0.0000""","=""u45"""
"=""1s.10p""","=""3P*""","=""1""","=""[""","=""152.66121""","=""]""","=""0.00012""","=""0.0000""","=""u45"""
"=""1s.10d""","=""3D""","=""1""","=""[""","=""152.67115""","=""]""","=""0.00012""","=""0.0099""","=""u45"""
"=""1s.10d""","=""3D""","=""2""","=""[""","=""152.67115""","=""]""","=""0.00012""","=""0.0000""","=""u45"""
"=""1s.10d""","=""3D""","=""3""","=""[""","=""152.67115""","=""]""","=""0.00012""","=""0.0000""","=""u45"""
"=""1s.10d""","=""1D""","=""2""","=""[""","=""152.67159""","=""]""","=""0.00012""","=""0.0004""","=""u45"""
"=""1s.10p""","=""1P*""","=""1""","=""[""","=""152.6745""","=""]""","=""0.0006""","=""0.0029""","=""u45"""
"=""Be IV (1s 2S<1/2>)""","=""Limit""","=""---""","=""(""","=""153.896205""","="")""","=""0.000004""","=""""","=""L10054"""
"=""2s.2p""","=""3P*""","=""0""","=""""","=""276.472""","=""""","=""0.006""","=""122.576""","=""L539"""
