Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""6p6""","=""1S""","=""0""","=""""","=""0.0000""","=""""","=""0""","=""""","=""L16139"""
"=""Fr III (6p5 2P*<3/2>)""","=""Limit""","=""---""","=""[""","=""22.4""","=""]""","=""1.9""","=""""","=""L16139"""
