Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Reference
"=""4d2.(3F).5p""","=""z 2G*""","=""7/2""","=""""","=""4.14505113""","=""""","=""0.00000012""","=""-0.0226089""","=""0.91""","=""L7610"""
"=""4d2.(3F).5p""","=""z 2G*""","=""9/2""","=""""","=""4.18929663""","=""""","=""0.00000025""","=""0.0442455""","=""1.15""","=""L7610"""
"=""4d2.(3F).5p""","=""x 2F*""","=""5/2""","=""""","=""4.16689962""","=""""","=""0.00000012""","=""-0.0223970""","=""0.985""","=""L7610"""
"=""4d2.(3F).5p""","=""x 2F*""","=""7/2""","=""""","=""4.21915772""","=""""","=""0.00000025""","=""0.0522581""","=""1.17""","=""L7610"""
"=""4d3""","=""2P""","=""1/2""","=""""","=""4.16751186""","=""""","=""0.00000025""","=""-0.0516459""","=""0.93""","=""L7610"""
"=""4d3""","=""2P""","=""3/2""","=""""","=""4.19592494""","=""""","=""0.00000012""","=""0.0284131""","=""1.36""","=""L7610"""
"=""4d2.(3F).5p""","=""x 2D*""","=""3/2""","=""""","=""4.20390258""","=""""","=""0.00000012""","=""0.0079776""","=""0.826""","=""L7610"""
"=""4d2.(3F).5p""","=""x 2D*""","=""5/2""","=""""","=""4.24617698""","=""""","=""0.00000012""","=""0.0422744""","=""1.186""","=""L7610"""
"=""5p2.(3P).5s""","=""e 4P""","=""1/2""","=""""","=""4.20451395""","=""""","=""0.00000025""","=""-0.0416630""","=""2.58""","=""L7610"""
"=""5p2.(3P).5s""","=""e 4P""","=""3/2""","=""""","=""4.23479337""","=""""","=""0.00000012""","=""0.0302794""","=""1.47""","=""L7610"""
"=""5p2.(3P).5s""","=""e 4P""","=""5/2""","=""""","=""4.28008591""","=""""","=""0.00000012""","=""0.0452925""","=""1.46""","=""L7610"""
"=""5s2.(2D).5d""","=""e 2D""","=""3/2""","=""""","=""4.24417054""","=""""","=""0.00000012""","=""-0.0359154""","=""0.94?""","=""L7610"""
"=""5s2.(2D).5d""","=""e 2D""","=""5/2""","=""""","=""4.24738211""","=""""","=""0.00000012""","=""0.0032116""","=""1.34""","=""L7610"""
"=""4d2.(3P).5p""","=""z 2S*""","=""1/2""","=""""","=""4.26979609""","=""""","=""0.00000025""","=""0.0224140""","=""1.70""","=""L7610"""
"=""4d2.(3P).5p""","=""x 4D*""","=""1/2""","=""""","=""4.4239221""","=""""","=""0.0000006""","=""0.1541260""","=""""","=""L7610"""
"=""4d2.(3P).5p""","=""x 4D*""","=""3/2""","=""""","=""4.4406685""","=""""","=""0.0000004""","=""0.0167464""","=""""","=""L7610"""
"=""4d2.(3P).5p""","=""x 4D*""","=""5/2""","=""""","=""4.4709746""","=""""","=""0.0000004""","=""0.0303061""","=""1.34""","=""L7610"""
"=""4d2.(3P).5p""","=""x 4D*""","=""7/2""","=""""","=""4.5082074""","=""""","=""0.0000004""","=""0.0372328""","=""1.38""","=""L7610"""
"=""4d2.(3P).5p""","=""z 4S*""","=""3/2""","=""""","=""4.48023931""","=""""","=""0.00000025""","=""-0.0279681""","=""1.94?""","=""L7610"""
"=""4d.5s.(3D).6s""","=""f 2D""","=""3/2""","=""""","=""4.51558026""","=""""","=""0.00000025""","=""0.0353410""","=""0.90""","=""L7610"""
"=""4d.5s.(3D).6s""","=""f 2D""","=""5/2""","=""""","=""4.51688879""","=""""","=""0.00000012""","=""0.0013085""","=""1.21""","=""L7610"""
"=""4d2.(1D).5p""","=""w 2D*""","=""3/2""","=""""","=""4.51950858""","=""""","=""0.00000025""","=""0.0026198""","=""0.86""","=""L7610"""
