Configuration,Term,J,Level (eV),Uncertainty (eV),Reference
3p6,1S,0,0.000000,,NIST_ASD
3p5 4s,3P*,2,11.548,,NIST_ASD
3p5 4s,1P*,1,11.828,,NIST_ASD
Limit,Limit,---,15.7596119,,NIST_ASD
