Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Reference
"=""6s.4f""","=""3F*""","=""3""","=""""","=""4.2919167""","=""""","=""""","=""0.001721""","=""1.09""","=""L9224"""
"=""6s.4f""","=""3F*""","=""4""","=""""","=""4.2936694""","=""""","=""""","=""0.001753""","=""1.48""","=""L9224"""
"=""6s.4f""","=""1F*""","=""3""","=""""","=""4.3067614""","=""""","=""""","=""0.013092""","=""0.99""","=""L9224"""
"=""6s.7d""","=""3D""","=""2""","=""""","=""4.4159389""","=""""","=""""","=""0.109177""","=""""","=""L9224"""
"=""6s.7d""","=""3D""","=""1""","=""""","=""4.4273876""","=""""","=""""","=""0.011449""","=""""","=""L9224"""
"=""6s.7d""","=""3D""","=""3""","=""""","=""4.4368084""","=""""","=""""","=""0.009421""","=""""","=""L9224"""
"=""6s.8p""","=""3P*""","=""0""","=""""","=""4.41985""","=""""","=""""","=""-0.01696""","=""""","=""L11975"""
"=""6s.8p""","=""3P*""","=""1""","=""""","=""4.422392""","=""""","=""""","=""0.00254""","=""""","=""L4542"""
"=""6s.8p""","=""3P*""","=""2""","=""""","=""4.4333""","=""""","=""""","=""0.0109""","=""""","=""L11975"""
"=""6s.7d""","=""1D""","=""2""","=""""","=""4.4339461""","=""""","=""""","=""0.0006""","=""""","=""L9224"""
"=""6s.8p""","=""1P*""","=""1""","=""""","=""4.4500985""","=""""","=""""","=""0.016152""","=""""","=""L9224"""
"=""5d.6d""","=""3G""","=""3""","=""""","=""4.4503378""","=""""","=""""","=""0.000239""","=""""","=""L9224"""
"=""5d.6d""","=""3G""","=""4""","=""""","=""4.5067216""","=""""","=""""","=""0.056384""","=""""","=""L9224"""
"=""5d.6d""","=""3G""","=""5""","=""""","=""4.5672890""","=""""","=""""","=""0.060567""","=""""","=""L9224"""
"=""5d.6d""","=""3D""","=""1""","=""""","=""4.4552241""","=""""","=""""","=""-0.112065""","=""""","=""L9224"""
"=""5d.6d""","=""3D""","=""2""","=""""","=""4.4882791""","=""""","=""""","=""0.033055""","=""""","=""L9224"""
"=""5d.6d""","=""3D""","=""3""","=""""","=""4.5414238""","=""""","=""""","=""0.053145""","=""""","=""L9224"""
"=""5d.6d""","=""1F""","=""3""","=""""","=""4.4839272""","=""""","=""""","=""-0.057497""","=""1.5""","=""L9224"""
"=""5d.6d""","=""1P""","=""1""","=""""","=""4.5187988""","=""""","=""""","=""0.034872""","=""""","=""L9224"""
"=""5d.7p""","=""3D*""","=""1""","=""""","=""4.5248941""","=""""","=""""","=""0.006095""","=""""","=""L9224"""
"=""5d.7p""","=""3D*""","=""2""","=""""","=""4.5952824""","=""""","=""""","=""0.070388""","=""""","=""L9224"""
"=""5d.7p""","=""3D*""","=""3""","=""""","=""4.6543896""","=""""","=""""","=""0.059107""","=""""","=""L9224"""
"=""5d.7p""","=""3F*""","=""3""","=""""","=""4.5268127""","=""""","=""""","=""-0.127577""","=""""","=""L9224"""
"=""5d.7p""","=""3F*""","=""4""","=""""","=""4.6037857""","=""""","=""""","=""0.076973""","=""""","=""L9224"""
"=""6s.9s""","=""3S""","=""1""","=""""","=""4.5753480""","=""""","=""""","=""-0.028438""","=""""","=""L9224"""
"=""5d.7p""","=""3P*""","=""0""","=""""","=""4.5760435""","=""""","=""""","=""0.000695""","=""""","=""L9224"""
"=""5d.7p""","=""3P*""","=""1""","=""""","=""4.5861731""","=""""","=""""","=""0.010130""","=""""","=""L9224"""
"=""5d.7p""","=""3P*""","=""2""","=""""","=""4.5970213""","=""""","=""""","=""0.010848""","=""""","=""L9224"""
"=""5d.6d""","=""3F""","=""2""","=""""","=""4.5984244""","=""""","=""""","=""0.001403""","=""""","=""L9224"""
"=""5d.6d""","=""3F""","=""3""","=""""","=""4.6498894""","=""""","=""""","=""0.051465""","=""""","=""L9224"""
"=""5d.6d""","=""3F""","=""4""","=""""","=""4.6781875""","=""""","=""""","=""0.028298""","=""""","=""L9224"""
"=""5d.6d""","=""3S""","=""1""","=""""","=""4.5992541""","=""""","=""""","=""-0.078933""","=""""","=""L9224"""
"=""6s.9s""","=""1S""","=""0""","=""""","=""4.616452""","=""""","=""""","=""0.017198""","=""""","=""L4030"""
"=""5d.7p""","=""1F*""","=""3""","=""""","=""4.6223943""","=""""","=""""","=""0.005942""","=""""","=""L9224"""
"=""6s.5f""","=""3F*""","=""2""","=""""","=""4.6363727""","=""""","=""""","=""0.013978""","=""""","=""L9224"""
"=""6s.5f""","=""3F*""","=""3""","=""""","=""4.6393548""","=""""","=""""","=""0.002982""","=""""","=""L9224"""
"=""6s.5f""","=""3F*""","=""4""","=""""","=""4.6524014""","=""""","=""""","=""0.013047""","=""""","=""L9224"""
"=""6s.8d""","=""1D""","=""2""","=""""","=""4.6413703""","=""""","=""""","=""-0.011031""","=""""","=""L9224"""
"=""5d.6d""","=""3P""","=""0""","=""""","=""4.67120""","=""""","=""""","=""0.02983""","=""""","=""L14317"""
"=""5d.6d""","=""3P""","=""1""","=""""","=""4.7142585""","=""""","=""""","=""0.04306""","=""""","=""L9224"""
"=""5d.6d""","=""3P""","=""2""","=""""","=""4.7445797""","=""""","=""""","=""0.030321""","=""""","=""L9224"""
"=""6s.5f""","=""1F*""","=""3""","=""""","=""4.6791307""","=""""","=""""","=""-0.065449""","=""""","=""L9224"""
"=""6s.9p""","=""1P*""","=""1""","=""""","=""4.683538""","=""""","=""""","=""0.004407""","=""""","=""L4542"""
"=""5d.6d""","=""1D""","=""2""","=""""","=""4.6912279""","=""""","=""""","=""0.007690""","=""""","=""L9224"""
"=""6s.9p""","=""3P*""","=""1""","=""""","=""4.703572""","=""""","=""""","=""0.012344""","=""""","=""L4542"""
"=""6s.8d""","=""3D""","=""1""","=""""","=""4.7066767""","=""""","=""""","=""0.003105""","=""""","=""L9224"""
"=""6s.8d""","=""3D""","=""2""","=""""","=""4.7081990""","=""""","=""""","=""0.001522""","=""""","=""L9224"""
"=""6s.8d""","=""3D""","=""3""","=""""","=""4.7099655""","=""""","=""""","=""0.001767""","=""""","=""L9224"""
"=""5d.6d""","=""1G""","=""4""","=""""","=""4.7333440""","=""""","=""""","=""0.023378""","=""""","=""L9224"""
