Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Reference
"=""5d9.6s2.(2D<5/2>).7s""","=""2[5/2]""","=""3""","=""""","=""12.03889""","=""""","=""0.00004""","=""0.41706""","=""""","="""""
"=""5d9.6s2.(2D<5/2>).7s""","=""2[5/2]""","=""2""","=""""","=""12.064883""","=""""","=""0.000024""","=""0.02599""","=""""","="""""
"=""5d9.6s2.(2D<5/2>).7p""","=""2[3/2]*""","=""1""","=""""","=""13.1277""","=""""","=""0.0010""","=""1.0628""","=""""","="""""
"=""5d9.6s2.(2D<5/2>).8p""","=""2[3/2]*""","=""1""","=""""","=""13.9201""","=""""","=""0.0011""","=""0.792""","=""""","="""""
"=""5d9.6s2.(2D<5/2>).5f""","=""2[3/2]*""","=""1""","=""""","=""13.97318""","=""""","=""0.00025""","=""0.0531""","=""""","="""""
"=""5d9.6s2.(2D<5/2>).5f""","=""2[1/2]*""","=""1""","=""""","=""13.97593""","=""""","=""0.00025""","=""0.0028""","=""""","="""""
"=""5d9.6s2.(2D<5/2>).9p""","=""2[3/2]*""","=""1""","=""""","=""14.2634""","=""""","=""0.0009""","=""0.2875""","=""""","="""""
"=""5d9.6s2.(2D<5/2>).6f""","=""2[3/2]*""","=""1""","=""""","=""14.28693""","=""""","=""0.00015""","=""0.0235""","=""""","="""""
"=""5d9.6s2.(2D<5/2>).6f""","=""2[1/2]*""","=""1""","=""""","=""14.28836""","=""""","=""0.00014""","=""0.0014""","=""""","="""""
"=""5d9.6s2.(2D<5/2>).10p""","=""2[3/2]*""","=""1""","=""""","=""14.44463""","=""""","=""0.00015""","=""0.1563""","=""""","="""""
"=""5d9.6s2.(2D<5/2>).7f""","=""2[3/2]*""","=""1""","=""""","=""14.45795""","=""""","=""0.00015""","=""0.0133""","=""""","="""""
"=""5d9.6s2.(2D<5/2>).7f""","=""2[1/2]*""","=""1""","=""""","=""14.45876""","=""""","=""0.00015""","=""0.0008""","=""""","="""""
"=""5d9.6s2.(2D<5/2>).11p""","=""2[3/2]*""","=""1""","=""""","=""14.55226""","=""""","=""0.00015""","=""0.0935""","=""""","="""""
"=""5d9.6s2.(2D<5/2>).8f""","=""2[3/2]*""","=""1""","=""""","=""14.56007""","=""""","=""0.00015""","=""0.0078""","=""""","="""""
"=""5d9.6s2.(2D<5/2>).8f""","=""2[1/2]*""","=""1""","=""""","=""14.56062""","=""""","=""0.00015""","=""0.0006""","=""""","="""""
"=""5d9.6s2.(2D<5/2>).12p""","=""2[3/2]*""","=""1""","=""""","=""14.62143""","=""""","=""0.00016""","=""0.0608""","=""""","="""""
"=""5d9.6s2.(2D<5/2>).9f""","=""2[3/2]*""","=""1""","=""""","=""14.62599""","=""""","=""0.00016""","=""0.0046""","=""""","="""""
"=""5d9.6s2.(2D<5/2>).9f""","=""2[1/2]*""","=""1""","=""""","=""14.62637""","=""""","=""0.00016""","=""0.0004""","=""""","="""""
"=""5d9.6s2.(2D<5/2>).13p""","=""2[3/2]*""","=""1""","=""""","=""14.66878""","=""""","=""0.00016""","=""0.0424""","=""""","="""""
"=""5d9.6s2.(2D<5/2>).10f""","=""2[3/2]*""","=""1""","=""""","=""14.67160""","=""""","=""0.00016""","=""0.0028""","=""""","="""""
"=""5d9.6s2.(2D<5/2>).10f""","=""2[1/2]*""","=""1""","=""""","=""14.67186""","=""""","=""0.00016""","=""0.0003""","=""""","="""""
"=""5d9.6s2.(2D<5/2>).14p""","=""2[3/2]*""","=""1""","=""""","=""14.70159""","=""""","=""0.00016""","=""0.0297""","=""""","="""""
"=""5d9.6s2.(2D<5/2>).11f""","=""2[3/2]*""","=""1""","=""""","=""14.70330""","=""""","=""0.00016""","=""0.0017""","=""""","="""""
"=""5d9.6s2.(2D<5/2>).11f""","=""2[1/2]*""","=""1""","=""""","=""14.70350""","=""""","=""0.00016""","=""0.0002""","=""""","="""""
"=""5d9.6s2.(2D<5/2>).15p""","=""2[3/2]*""","=""1""","=""""","=""14.72632""","=""""","=""0.00016""","=""0.0228""","=""""","="""""
"=""5d9.6s2.(2D<5/2>).12f""","=""2[3/2]*""","=""1""","=""""","=""14.72708""","=""""","=""0.00016""","=""0.0008""","=""""","="""""
"=""5d9.6s2.(2D<5/2>).12f""","=""2[1/2]*""","=""1""","=""""","=""14.72723""","=""""","=""0.00016""","=""0.0001""","=""""","="""""
"=""5d9.6s2.(2D<5/2>).16p""","=""2[3/2]*""","=""1""","=""""","=""14.74317""","=""""","=""0.00016""","=""0.0159""","=""""","="""""
"=""5d9.6s2.(2D<5/2>).13f""","=""2[3/2]*""","=""1""","=""""","=""14.7455""","=""""","=""0.0005""","=""0.0023""","=""""","="""""
