Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Reference
"=""3s2.3p5.(2P*<1/2>).5p""","=""2[1/2]""","=""1""","=""""","=""14.68711824""","=""""","=""""","=""-0.0011721""","=""1.45""","="""""
"=""3s2.3p5.(2P*<1/2>).5p""","=""2[1/2]""","=""0""","=""""","=""14.73811536""","=""""","=""""","=""0.0509971""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).4d""","=""2[1/2]*""","=""0""","=""""","=""14.6936397""","=""""","=""""","=""-0.0444757""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).4d""","=""2[1/2]*""","=""1""","=""""","=""14.71089810""","=""""","=""""","=""0.0172584""","=""1.467""","="""""
"=""3s2.3p5.(2P*<3/2>).4d""","=""2[3/2]*""","=""2""","=""""","=""14.74254085""","=""""","=""""","=""0.0316427""","=""1.437""","="""""
"=""3s2.3p5.(2P*<3/2>).4d""","=""2[3/2]*""","=""1""","=""""","=""14.859230""","=""""","=""""","=""0.116689""","=""0.768""","="""""
"=""3s2.3p5.(2P*<3/2>).4d""","=""2[7/2]*""","=""4""","=""""","=""14.7570516""","=""""","=""""","=""-0.102178""","=""1.255""","="""""
"=""3s2.3p5.(2P*<3/2>).4d""","=""2[7/2]*""","=""3""","=""""","=""14.780512""","=""""","=""""","=""0.023460""","=""1.077""","="""""
"=""3s2.3p5.(2P*<3/2>).4d""","=""2[5/2]*""","=""2""","=""""","=""14.809272""","=""""","=""""","=""0.02876""","=""0.908""","="""""
"=""3s2.3p5.(2P*<3/2>).4d""","=""2[5/2]*""","=""3""","=""""","=""14.824298""","=""""","=""""","=""0.01503""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""2""","=""""","=""14.83881100""","=""""","=""""","=""0.014513""","=""1.500""","="""""
"=""3s2.3p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""1""","=""""","=""14.84836899""","=""""","=""""","=""0.0095580""","=""1.184""","="""""
