Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""5p2.(1D).5d""","=""2D""","=""3/2""","=""""","=""8.0395596""","=""""","=""0.0000006""","=""-0.2355333""","=""""","=""  52             :    21  5p2.6d  ""","=""L10083"""
"=""5p2.(1D).5d""","=""2D""","=""5/2""","=""""","=""8.0891321""","=""""","=""0.0000006""","=""0.0495725""","=""""","=""  23             :    39  5p2.6d  ""","=""L10083"""
"=""5p2.(1D<2>).6p""","=""(2,3/2)*""","=""5/2""","=""""","=""8.0439656""","=""""","=""0.0000006""","=""-0.0451665""","=""""","=""  75             :     6  5p2.7p  ""","=""L10083"""
"=""5p2.(1D<2>).6p""","=""(2,3/2)*""","=""7/2""","=""""","=""8.0536702""","=""""","=""0.0000006""","=""0.0097046""","=""""","=""  86                              ""","=""L10083"""
"=""5p2.(1D<2>).6p""","=""(2,3/2)*""","=""1/2""","=""""","=""8.1184378""","=""""","=""0.0000006""","=""0.0647676""","=""""","=""  75             :    18  5p2.7p  ""","=""L10083"""
"=""5p2.(1D<2>).6p""","=""(2,3/2)*""","=""3/2""","=""""","=""8.17787""","=""""","=""0.00006""","=""0.05943""","=""""","=""  35             :    36  5p2.7p  ""","=""L6684"""
"=""5p2.(3P<0>).5f""","=""2[3]*""","=""5/2""","=""""","=""8.0557272""","=""""","=""0.0000006""","=""-0.12214""","=""""","=""  94                              ""","=""L10083"""
"=""5p2.(3P<0>).5f""","=""2[3]*""","=""7/2""","=""""","=""8.0562756""","=""""","=""0.0000006""","=""0.0005484""","=""""","=""  94                              ""","=""L10083"""
"=""5p2.(3P).9s""","=""4P""","=""1/2""","=""""","=""8.0909065""","=""""","=""0.0000006""","=""0.0346309""","=""""","=""                                  ""","=""L10083"""
"=""5p2.(3P).9s""","=""4P""","=""3/2?""","=""""","=""8.47403""","=""""","=""0.00004""","=""0.38312""","=""""","=""                                  ""","=""L6231,L4893"""
"=""5p2.(3P).9s""","=""4P""","=""5/2""","=""""","=""8.78809""","=""""","=""0.00005""","=""0.31406""","=""""","=""                                  ""","=""L6231,L4893"""
"=""5p2.(1D).5d""","=""2F""","=""7/2""","=""""","=""8.1090375""","=""""","=""0.0000006""","=""-0.67905""","=""""","=""  50             :    13  5p2.6d  ""","=""L10083"""
"=""5p2.(3P<1>).4f""","=""2[3]*""","=""5/2""","=""""","=""8.1160241""","=""""","=""0.0000006""","=""0.0069866""","=""""","=""  99                              ""","=""L10083"""
"=""5p2.(3P<1>).4f""","=""2[3]*""","=""7/2""","=""""","=""8.1169003""","=""""","=""0.0000006""","=""0.0008762""","=""""","=""  99                              ""","=""L10083"""
"=""5p2.(3P<1>).4f""","=""2[4]*""","=""9/2""","=""""","=""8.1244108""","=""""","=""0.0000025""","=""0.007511""","=""""","=""  99                              ""","=""L10083"""
"=""5p2.(3P<1>).4f""","=""2[4]*""","=""7/2""","=""""","=""8.1248593""","=""""","=""0.0000006""","=""0.000449""","=""""","=""  99                              ""","=""L10083"""
"=""5p2.(3P<1>).4f""","=""2[2]*""","=""3/2""","=""""","=""8.1290532""","=""""","=""0.0000006""","=""0.0041939""","=""""","=""  99                              ""","=""L10083"""
"=""5p2.(3P<1>).4f""","=""2[2]*""","=""5/2""","=""""","=""8.1294346""","=""""","=""0.0000006""","=""0.0003814""","=""""","=""  99                              ""","=""L10083"""
"=""5p2.(1S).6s""","=""2S""","=""1/2?""","=""""","=""8.1401094""","=""""","=""0.0000025""","=""0.010675""","=""""","=""  82             :     7  5p2.6d  ""","=""L10083"""
"=""5p2.(3P<0>).9p""","=""(0,1/2)*""","=""1/2""","=""""","=""8.16601""","=""""","=""0.00007""","=""0.02590""","=""""","=""  93                              ""","=""L6684"""
"=""5p2.(3P).8s""","=""2P""","=""1/2?""","=""""","=""8.1762246""","=""""","=""0.0000006""","=""0.01021""","=""""","=""                                  ""","=""L10083,L6231"""
"=""5p2.(3P).8s""","=""2P""","=""1/2""","=""""","=""8.1841612""","=""""","=""0.0000006""","=""0.0079366""","=""""","=""                                  ""","=""L10083"""
"=""5p2.(3P).8d""","=""2D?""","=""3/2""","=""""","=""8.1858214""","=""""","=""0.0000006""","=""0.0016602""","=""""","=""                                  ""","=""L10083"""
"=""5p2.(3P<0>).9p""","=""(0,3/2)*""","=""3/2""","=""""","=""8.186651""","=""""","=""0.000006""","=""0.000830""","=""""","=""  83             :     7  5p2.6p  ""","=""L10083"""
"=""5p2.(3P<0>).6f""","=""2[3]*""","=""5/2""","=""""","=""8.2223439""","=""""","=""0.0000006""","=""0.035693""","=""""","=""                                  ""","=""L10083"""
"=""5p2.(3P<0>).6f""","=""2[3]*""","=""7/2""","=""""","=""8.2227873""","=""""","=""0.0000006""","=""0.0004434""","=""""","=""                                  ""","=""L10083"""
"=""5p2.(3P<2>).7p""","=""(2,1/2)*""","=""5/2""","=""""","=""8.2277938""","=""""","=""0.0000006""","=""0.0050065""","=""""","=""  73                              ""","=""L10083"""
"=""5p2.(3P<2>).7p""","=""(2,1/2)*""","=""3/2""","=""""","=""8.2501012""","=""""","=""0.0000006""","=""0.0223074""","=""""","=""  46                              ""","=""L10083"""
"=""5p2.(3P<2>).7p""","=""(2,3/2)*""","=""7/2""","=""""","=""8.2332181""","=""""","=""0.0000006""","=""-0.0168831""","=""""","=""  84                              ""","=""L10083"""
"=""5p2.(3P<2>).7p""","=""(2,3/2)*""","=""1/2""","=""""","=""8.267899""","=""""","=""0.000012""","=""0.03468""","=""""","=""  53             :    21  5p2.8p  ""","=""L6684"""
"=""5p2.(3P<2>).7p""","=""(2,3/2)*""","=""5/2""","=""""","=""8.2868028""","=""""","=""0.0000006""","=""0.01890""","=""""","=""  74                              ""","=""L10083"""
"=""5p2.(3P<2>).7p""","=""(2,3/2)*""","=""3/2""","=""""","=""8.3017098""","=""""","=""0.0000006""","=""0.0149070""","=""""","=""  27             :    28  5p2.8p  ""","=""L10083"""
"=""""","=""66535""","=""3/2,5/2""","=""""","=""8.249312""","=""""","=""0.000006""","=""-0.052398""","=""""","=""                                  ""","=""L10083"""
"=""""","=""66829""","=""3/2""","=""""","=""8.2857808""","=""""","=""0.0000006""","=""0.036469""","=""""","=""                                  ""","=""L10083"""
"=""""","=""67053""","=""3/2""","=""""","=""8.3135288""","=""""","=""0.0000006""","=""0.0277480""","=""""","=""                                  ""","=""L10083"""
"=""5p2.(3P).9d""","=""2D?""","=""5/2""","=""""","=""8.3137839""","=""""","=""0.0000006""","=""0.0002551""","=""""","=""                                  ""","=""L10083"""
"=""5p2.(3P<0>).7f""","=""2[3]*""","=""5/2""","=""""","=""8.3272903""","=""""","=""0.0000006""","=""0.0135064""","=""""","=""                                  ""","=""L10083"""
"=""5p2.(3P<0>).7f""","=""2[3]*""","=""7/2""","=""""","=""8.3274504""","=""""","=""0.0000006""","=""0.0001601""","=""""","=""                                  ""","=""L10083"""
"=""5p2.(3P<1>).8p""","=""(1,1/2)*""","=""1/2""","=""""","=""8.330746""","=""""","=""0.000012""","=""0.00330""","=""""","=""  93             :     7  5p2.7p  ""","=""L6684"""
"=""5p2.(3P<1>).8p""","=""(1,1/2)*""","=""3/2""","=""""","=""8.3534638""","=""""","=""0.0000006""","=""0.02272""","=""""","=""  53             :     9  5p2.7p  ""","=""L10083"""
"=""5p2.(3P).6d""","=""2D?""","=""3/2""","=""""","=""8.3402302""","=""""","=""0.0000006""","=""-0.0132336""","=""""","=""  57             :     4  5p2.5d  ""","=""L10083"""
