Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""6d5.7s2""","=""""","=""5/2""","=""""","=""0.0000""","=""""","=""0""","=""""","=""L13544"""
"=""Bh II (6d4.7s2 <0>)""","=""Limit""","=""---""","=""[""","=""7.7""","=""]""","=""0.5""","=""""","=""L13544"""
