Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Reference
"=""""","=""478*""","=""5/2""","=""""","=""5.938746""","=""""","=""""","=""0.00487""","=""1.217""","="""""
"=""""","=""479*""","=""5/2""","=""""","=""5.947624""","=""""","=""""","=""0.00888""","=""1.169""","="""""
"=""""","=""481*""","=""7/2""","=""""","=""5.974079""","=""""","=""""","=""0.02645""","=""1.252""","="""""
"=""""","=""485*""","=""11/2""","=""""","=""6.021867""","=""""","=""""","=""0.04779""","=""1.27""","="""""
"=""""","=""487*""","=""7/2""","=""""","=""6.048736""","=""""","=""""","=""0.02687""","=""1.53""","="""""
"=""""","=""488*""","=""7/2""","=""""","=""6.057570""","=""""","=""""","=""0.00883""","=""1.24""","="""""
"=""""","=""490*""","=""7/2""","=""""","=""6.078679""","=""""","=""""","=""0.02111""","=""1.499""","="""""
"=""""","=""491*""","=""9/2""","=""""","=""6.096397""","=""""","=""""","=""0.01772""","=""1.135""","="""""
"=""""","=""492*""","=""3/2""","=""""","=""6.106224""","=""""","=""""","=""0.00983""","=""1.263""","="""""
"=""""","=""492*""","=""11/2""","=""""","=""6.110694""","=""""","=""""","=""0.00447""","=""1.075""","="""""
"=""""","=""4954*""","=""5/2""","=""""","=""6.142296""","=""""","=""""","=""0.03160""","=""""","="""""
"=""""","=""4957*""","=""5/2""","=""""","=""6.146282""","=""""","=""""","=""0.00399""","=""1.344""","="""""
"=""""","=""4958*""","=""9/2""","=""""","=""6.147460""","=""""","=""""","=""0.00118""","=""1.058""","="""""
"=""""","=""498*""","=""7/2""","=""""","=""6.182251""","=""""","=""""","=""0.03479""","=""1.175""","="""""
"=""""","=""498*""","=""3/2""","=""""","=""6.186262""","=""""","=""""","=""0.00401""","=""1.989""","="""""
"=""""","=""5011*""","=""5/2""","=""""","=""6.212883""","=""""","=""""","=""0.02662""","=""1.765""","="""""
"=""""","=""5015*""","=""5/2""","=""""","=""6.218907""","=""""","=""""","=""0.00602""","=""1.422""","="""""
"=""""","=""5019*""","=""9/2""","=""""","=""6.223627""","=""""","=""""","=""0.00472""","=""1.345""","="""""
"=""""","=""502*""","=""3/2""","=""""","=""6.231845""","=""""","=""""","=""0.00822""","=""1.234""","="""""
"=""""","=""503*""","=""7/2""","=""""","=""6.237732""","=""""","=""""","=""0.00589""","=""1.170""","="""""
"=""5d5.6s.(7S).6d""","=""e 8D""","=""3/2""","=""""","=""6.240447""","=""""","=""""","=""0.00271""","=""""","="""""
"=""5d5.6s.(7S).6d""","=""e 8D""","=""5/2""","=""""","=""6.241441""","=""""","=""""","=""0.00099""","=""2.027""","="""""
"=""5d5.6s.(7S).6d""","=""e 8D""","=""7/2""","=""""","=""6.243749""","=""""","=""""","=""0.00231""","=""1.820""","="""""
"=""5d5.6s.(7S).6d""","=""e 8D""","=""9/2""","=""""","=""6.248273""","=""""","=""""","=""0.00452""","=""1.690""","="""""
"=""5d5.6s.(7S).6d""","=""e 8D""","=""11/2""","=""""","=""6.256781""","=""""","=""""","=""0.00851""","=""1.629""","="""""
"=""""","=""504*""","=""9/2""","=""""","=""6.248929""","=""""","=""""","=""-0.00785""","=""1.055""","="""""
"=""""","=""504*""","=""5/2""","=""""","=""6.256714""","=""""","=""""","=""0.00778""","=""1.144""","="""""
"=""""","=""505*""","=""3/2""","=""""","=""6.270007""","=""""","=""""","=""0.01329""","=""0.935""","="""""
"=""""","=""506*""","=""11/2""","=""""","=""6.281475""","=""""","=""""","=""0.01147""","=""1.220""","="""""
