Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Reference
"=""4d4.(5D).5p""","=""x 6D*""","=""3/2""","=""""","=""3.312030""","=""""","=""""","=""0.01995""","=""1.45""","=""L3465"""
"=""4d4.(5D).5p""","=""x 6D*""","=""5/2""","=""""","=""3.345508""","=""""","=""""","=""0.03348""","=""1.618""","=""L3465"""
"=""4d4.(5D).5p""","=""x 6D*""","=""7/2""","=""""","=""3.400523""","=""""","=""""","=""0.05502""","=""1.567""","=""L3465"""
"=""4d4.(5D).5p""","=""x 6D*""","=""9/2""","=""""","=""3.468442""","=""""","=""""","=""0.06792""","=""1.542""","=""L3465"""
"=""4d4.(5D).5p""","=""y 4D*""","=""1/2""","=""""","=""3.312576""","=""""","=""""","=""-0.15587""","=""1.141""","=""L3465"""
"=""4d4.(5D).5p""","=""y 4D*""","=""3/2""","=""""","=""3.339745""","=""""","=""""","=""0.02717""","=""1.292""","=""L3465"""
"=""4d4.(5D).5p""","=""y 4D*""","=""5/2""","=""""","=""3.392170""","=""""","=""""","=""0.05242""","=""1.32""","=""L3465"""
"=""4d4.(5D).5p""","=""y 4D*""","=""7/2""","=""""","=""3.421560""","=""""","=""""","=""0.02939""","=""1.422""","=""L3465"""
"=""4d4.(3H).5p""","=""z 2G*""","=""7/2""","=""""","=""3.334763""","=""""","=""""","=""-0.08680""","=""1.013""","=""L3465"""
"=""4d4.(3H).5p""","=""z 2G*""","=""9/2""","=""""","=""3.388711""","=""""","=""""","=""0.05395""","=""1.078""","=""L3465"""
"=""4d3.5s.(c 3P).5p""","=""y 4P*""","=""1/2""","=""""","=""3.409434""","=""""","=""""","=""0.02072""","=""2.467""","=""L3465"""
"=""4d3.5s.(c 3P).5p""","=""y 4P*""","=""3/2""","=""""","=""3.444600""","=""""","=""""","=""0.03517""","=""1.660""","=""L3465"""
"=""4d3.5s.(c 3P).5p""","=""y 4P*""","=""5/2""","=""""","=""3.526771""","=""""","=""""","=""0.08217""","=""1.606""","=""L3465"""
"=""""","=""276*""","=""5/2""","=""""","=""3.423712""","=""""","=""""","=""-0.10306""","=""1.370""","=""L3465"""
"=""4d3.5s.(c 3P).5p""","=""x 4D*""","=""1/2""","=""""","=""3.430204""","=""""","=""""","=""0.00649""","=""0.222""","=""L3465"""
"=""4d3.5s.(c 3P).5p""","=""x 4D*""","=""3/2""","=""""","=""3.481363""","=""""","=""""","=""0.05116""","=""1.443""","=""L3465"""
"=""4d3.5s.(c 3P).5p""","=""x 4D*""","=""5/2""","=""""","=""3.539677""","=""""","=""""","=""0.05831""","=""1.472""","=""L3465"""
"=""4d3.5s.(c 3P).5p""","=""x 4D*""","=""7/2""","=""""","=""3.621507""","=""""","=""""","=""0.08183""","=""1.241""","=""L3465"""
"=""4d3.5s.(a 3F).5p""","=""z 2F*""","=""5/2""","=""""","=""3.446443""","=""""","=""""","=""-0.17506""","=""1.16""","=""L3465"""
"=""4d3.5s.(a 3F).5p""","=""z 2F*""","=""7/2""","=""""","=""3.537934""","=""""","=""""","=""0.09149""","=""1.12""","=""L3465"""
"=""4d3.5s.(a 3F).5p""","=""y 2G*""","=""7/2""","=""""","=""3.453596""","=""""","=""""","=""-0.08434""","=""0.92""","=""L3465"""
