Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""5f7.7s2""","=""8S*""","=""7/2""","=""""","=""0.0000""","=""""","=""0""","=""""","=""L15992"""
"=""Am II (5f7.7s 9S*<4>)""","=""Limit""","=""---""","=""""","=""5.97381""","=""""","=""0.00025""","=""""","=""L15992"""
